@relation marketing_training_predicted

@attribute custAge numeric
@attribute profession {admin.,blue-collar,technician,management,services,unemployed,housemaid,unknown,self-employed,retired,student,entrepreneur}
@attribute marital {single,married,divorced,unknown}
@attribute schooling {university.degree,high.school,basic.4y,basic.9y,professional.course,basic.6y,unknown,illiterate}
@attribute default {unknown,no,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {cellular,telephone}
@attribute month {nov,jul,may,aug,apr,jun,mar,oct,sep,dec}
@attribute day_of_week {mon,wed,tue,fri,thu}
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {nonexistent,failure,success}
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute pmonths numeric
@attribute pastEmail numeric
@attribute 'prediction margin' numeric
@attribute 'predicted responded' {no,yes}
@attribute responded {no,yes}

@data
25,admin.,single,?,no,no,yes,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.879559,no,no
30,technician,married,professional.course,no,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,0.914994,no,no
22,blue-collar,single,?,unknown,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.865402,no,no
57,admin.,married,basic.9y,no,no,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.888726,no,no
29,admin.,single,?,no,no,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.889131,no,no
36,management,married,university.degree,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.911416,no,no
35,admin.,married,university.degree,no,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,0.902327,no,no
35,technician,divorced,professional.course,no,yes,no,cellular,apr,wed,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,999,1,0.712577,no,no
?,technician,married,professional.course,no,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.924365,no,no
50,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.948349,no,no
35,blue-collar,single,basic.9y,no,yes,no,cellular,may,?,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,999,0,0.746073,no,no
24,student,single,?,no,yes,yes,cellular,jun,thu,1,999,0,nonexistent,-1.7,94.055,-39.8,0.729,4991.6,999,0,0.202444,no,no
39,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.89169,no,no
54,self-employed,married,?,no,yes,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.934882,no,no
59,housemaid,married,?,no,no,yes,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.953768,no,no
?,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,6,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,0.757906,no,no
38,blue-collar,married,?,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.895908,no,no
?,services,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.930035,no,no
35,technician,divorced,?,no,no,no,cellular,jun,?,1,13,2,failure,-1.7,94.055,-39.8,0.739,4991.6,0.433333,6,0.302467,no,no
24,technician,single,unknown,no,no,no,cellular,jul,?,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.839013,no,no
?,blue-collar,married,basic.4y,unknown,yes,yes,cellular,may,wed,2,999,2,failure,-1.8,92.893,-46.2,1.334,5099.1,999,0,0.929401,no,no
34,admin.,married,university.degree,no,yes,no,telephone,nov,fri,5,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.962671,no,no
31,technician,married,professional.course,no,no,no,cellular,aug,?,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.929023,no,no
40,admin.,married,high.school,unknown,no,no,telephone,jun,tue,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.930234,no,no
?,management,married,university.degree,no,no,no,telephone,apr,wed,4,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999,0,0.770184,no,no
36,admin.,married,high.school,no,yes,no,cellular,jul,fri,1,999,1,failure,-2.9,92.469,-33.6,1.059,5076.2,999,2,0.63687,no,no
33,admin.,married,high.school,no,yes,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,5,0.875201,no,no
38,admin.,married,basic.9y,unknown,yes,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.947192,no,no
31,technician,married,university.degree,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,0.926401,no,no
32,services,married,basic.4y,no,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.941045,no,no
29,services,single,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.929446,no,no
?,student,married,university.degree,no,no,yes,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.878161,no,no
29,blue-collar,married,professional.course,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.812143,no,no
31,blue-collar,married,?,no,no,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.856383,no,no
25,technician,single,basic.9y,no,yes,no,cellular,may,fri,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0,0.798575,no,no
49,services,married,high.school,no,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.925783,no,no
38,technician,married,professional.course,no,no,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,999,0,0.934848,no,no
36,admin.,single,university.degree,no,no,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,0.911316,no,no
47,technician,divorced,high.school,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.916395,no,no
34,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.92062,no,no
28,admin.,married,?,unknown,no,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.896881,no,no
49,housemaid,married,?,unknown,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999,0,0.95174,no,no
46,technician,divorced,university.degree,no,no,no,cellular,jul,tue,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.900914,no,no
?,admin.,single,university.degree,no,yes,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.841263,no,no
?,self-employed,married,basic.9y,no,no,no,cellular,may,tue,2,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,999,0,0.832603,no,no
48,admin.,married,?,no,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.898619,no,no
?,housemaid,divorced,basic.4y,unknown,yes,yes,telephone,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.987624,no,no
32,technician,single,university.degree,no,no,no,cellular,aug,?,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.921476,no,no
?,blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.867448,no,no
40,self-employed,single,university.degree,no,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.926156,no,no
37,admin.,single,university.degree,no,yes,yes,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999,0,0.917359,no,no
?,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,0.915716,no,no
?,admin.,married,unknown,no,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.874903,no,no
?,management,single,?,no,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999,0,0.892287,no,no
43,management,married,?,no,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.897994,no,no
37,management,married,?,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.909544,no,no
45,blue-collar,married,?,no,yes,no,telephone,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,0.884426,no,no
28,admin.,single,university.degree,no,no,no,cellular,mar,fri,2,999,1,failure,-1.8,93.369,-34.8,0.636,5008.7,999,1,0.081729,no,no
39,technician,married,?,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,0.789106,no,no
38,technician,married,professional.course,no,no,no,cellular,nov,wed,3,999,1,failure,-0.1,93.2,-42,4.12,5195.8,999,1,0.956682,no,no
32,admin.,married,?,no,no,yes,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.875133,no,no
?,housemaid,married,?,no,no,no,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,0.840826,no,no
33,technician,married,university.degree,no,yes,no,cellular,mar,tue,2,999,0,nonexistent,-1.8,92.843,-50,1.687,5099.1,999,0,0.265388,no,no
43,blue-collar,married,basic.6y,no,no,no,cellular,may,fri,5,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,999,5,0.860011,no,no
46,technician,divorced,professional.course,no,no,no,cellular,jul,tue,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.887126,no,no
?,admin.,married,university.degree,no,yes,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,999,0,0.911669,no,no
?,technician,married,unknown,no,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.923985,no,no
?,admin.,divorced,high.school,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.890389,no,no
48,blue-collar,married,?,unknown,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.921663,no,no
?,blue-collar,married,basic.6y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.891385,no,no
49,housemaid,married,university.degree,no,yes,yes,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.954484,no,no
?,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,999,0,0.926696,no,no
?,blue-collar,single,high.school,no,no,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,1,0.8212,no,no
31,services,divorced,?,no,no,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.561925,no,no
39,admin.,single,?,unknown,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,0.931483,no,no
?,blue-collar,single,basic.9y,no,yes,no,cellular,nov,thu,3,9,1,success,-3.4,92.649,-30.1,0.714,5017.5,0.3,2,-0.449256,yes,no
?,technician,single,professional.course,no,no,no,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,999,4,0.960838,no,no
31,technician,married,professional.course,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,0.895606,no,no
26,blue-collar,single,basic.4y,no,yes,yes,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.871393,no,no
44,admin.,divorced,university.degree,no,yes,yes,cellular,jun,?,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999,0,0.371289,no,no
31,technician,single,professional.course,no,yes,no,cellular,aug,fri,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.917199,no,no
35,services,single,high.school,no,yes,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999,2,0.870015,no,no
41,blue-collar,married,basic.9y,no,no,no,cellular,apr,tue,1,999,1,failure,-1.8,93.075,-47.1,1.453,5099.1,999,2,0.737243,no,no
?,housemaid,married,high.school,unknown,yes,yes,cellular,may,wed,4,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,2,0.954369,no,no
30,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,?,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,999,0,0.816998,no,no
53,technician,married,?,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.928019,no,no
34,technician,married,professional.course,no,yes,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.915006,no,no
32,admin.,married,?,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,2,0.853505,no,no
59,admin.,divorced,university.degree,unknown,yes,yes,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.949022,no,no
?,technician,married,professional.course,no,no,no,cellular,mar,thu,1,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,999,0,0.242862,no,no
32,services,single,?,no,unknown,unknown,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,0.918135,no,no
35,services,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.947349,no,no
32,technician,married,?,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.931773,no,no
?,housemaid,married,basic.6y,unknown,yes,no,cellular,jul,wed,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.919914,no,no
?,management,single,university.degree,no,no,no,telephone,may,?,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.921181,no,no
47,services,married,high.school,no,unknown,unknown,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,999,0,0.937719,no,no
36,admin.,married,university.degree,no,no,yes,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.865353,no,no
31,services,single,high.school,no,no,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,0.868553,no,no
34,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,999,3,0.882112,no,no
27,technician,single,professional.course,no,no,no,cellular,jul,mon,7,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,0.896627,no,no
?,admin.,married,?,unknown,yes,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999,0,0.935634,no,no
32,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.946474,no,no
?,technician,single,professional.course,no,no,no,cellular,jul,?,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.885146,no,no
54,blue-collar,married,?,no,no,yes,telephone,may,?,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,0.937765,no,no
?,admin.,single,university.degree,no,no,no,cellular,apr,thu,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,999,0,0.453891,no,no
?,self-employed,single,high.school,no,yes,yes,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,0.932212,no,no
44,self-employed,divorced,?,no,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,999,0,0.915069,no,no
?,blue-collar,married,basic.9y,no,no,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,999,0,0.919319,no,no
29,services,married,basic.9y,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,999,0,0.806115,no,no
43,management,married,professional.course,no,no,no,telephone,may,thu,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,999,0,0.927284,no,no
?,blue-collar,married,?,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,999,0,0.71321,no,no
37,technician,single,professional.course,no,yes,no,cellular,apr,mon,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.594272,no,no
34,admin.,single,university.degree,no,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.838643,no,no
31,technician,single,university.degree,no,yes,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999,0,0.920639,no,no
30,unemployed,married,?,no,yes,no,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,999,0,0.362921,no,no
?,blue-collar,married,basic.6y,no,yes,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.891595,no,no
30,self-employed,single,university.degree,no,yes,no,cellular,aug,?,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.925483,no,no
?,technician,single,university.degree,no,yes,yes,cellular,oct,wed,2,999,0,nonexistent,-3.4,92.431,-26.9,0.742,5017.5,999,0,0.194322,no,no
40,unemployed,divorced,high.school,no,no,yes,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,999,0,0.921091,no,no
?,admin.,married,university.degree,no,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.885675,no,no
?,services,married,basic.6y,no,yes,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,999,0,0.478105,no,no
37,management,divorced,unknown,no,yes,no,cellular,may,tue,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,999,0,0.819652,no,no
37,admin.,married,university.degree,unknown,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.877083,no,no
31,self-employed,single,?,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.866926,no,no
33,entrepreneur,married,basic.9y,no,no,no,cellular,may,wed,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,999,3,0.849986,no,no
31,blue-collar,single,basic.9y,no,no,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,999,2,0.840439,no,no
51,blue-collar,married,?,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.891996,no,no
55,blue-collar,divorced,basic.6y,no,yes,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,999,0,0.867513,no,no
37,admin.,single,?,no,no,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,0.891946,no,no
38,technician,married,?,no,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.93623,no,no
37,blue-collar,married,?,no,no,yes,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999,0,0.501996,no,no
?,services,married,?,no,yes,no,telephone,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.962354,no,no
?,technician,married,?,no,no,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,999,0,0.773154,no,no
48,management,married,university.degree,no,no,no,cellular,aug,?,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999,0,0.923526,no,no
?,retired,married,basic.9y,unknown,no,no,cellular,jul,thu,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,999,0,0.88135,no,no
?,blue-collar,married,high.school,no,yes,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.869884,no,no
44,unemployed,married,?,unknown,yes,no,telephone,jul,wed,10,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.971494,no,no
28,admin.,married,?,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999,0,0.866971,no,no
32,blue-collar,married,basic.9y,no,yes,yes,cellular,aug,fri,1,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2,999,0,0.456856,no,no
37,entrepreneur,married,university.degree,no,yes,no,cellular,jun,?,1,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,999,0,0.202013,no,no
28,unknown,single,basic.9y,unknown,yes,no,telephone,may,fri,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.961645,no,no
50,unknown,married,?,unknown,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.938214,no,no
42,services,married,?,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.902378,no,no
?,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.9319,no,no
30,blue-collar,married,high.school,no,yes,no,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0,0.891576,no,no
33,student,married,?,no,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.724223,no,no
?,technician,married,professional.course,unknown,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.962559,no,no
80,retired,married,basic.4y,no,no,no,cellular,aug,wed,4,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2,999,0,0.43507,no,no
?,management,married,?,no,yes,yes,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,999,0,0.916352,no,no
?,blue-collar,married,?,unknown,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.921525,no,no
37,technician,single,basic.9y,unknown,no,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,999,0,0.960219,no,no
32,admin.,single,?,no,no,no,telephone,jun,wed,6,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999,0,0.873631,no,no
30,self-employed,married,?,no,no,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.897752,no,no
33,entrepreneur,married,high.school,no,yes,no,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.859909,no,no
58,retired,married,?,no,no,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,999,1,0.932487,no,no
33,technician,single,professional.course,no,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,999,0,0.766532,no,no
51,admin.,married,university.degree,no,no,no,telephone,may,tue,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,999,0,0.92723,no,no
54,management,divorced,?,unknown,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.929487,no,no
56,management,married,professional.course,no,no,no,cellular,jul,wed,2,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,999,0,0.355382,no,no
28,technician,single,professional.course,no,yes,no,telephone,mar,tue,2,999,0,nonexistent,-1.8,92.843,-50,1.556,5099.1,999,0,0.595222,no,no
?,blue-collar,married,high.school,no,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,999,0,0.894262,no,no
?,admin.,divorced,high.school,no,no,no,telephone,nov,wed,4,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,999,0,0.95683,no,no
31,admin.,divorced,high.school,no,no,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,999,0,0.864594,no,no
34,management,married,university.degree,no,yes,no,cellular,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,999,0,0.51377,no,no
28,admin.,single,unknown,no,yes,no,cellular,jul,fri,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.792457,no,no
?,blue-collar,single,basic.4y,no,no,no,telephone,jun,mon,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999,0,0.915633,no,no
37,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.850338,no,no
43,technician,married,?,unknown,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999,0,0.951867,no,no
33,admin.,married,?,no,no,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,999,0,0.867852,no,no
40,blue-collar,divorced,basic.4y,no,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42,4.021,5195.8,999,5,0.958667,no,no
53,admin.,married,basic.9y,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999,0,0.92353,no,no
50,management,married,high.school,unknown,yes,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,999,0,0.916276,no,no
36,management,single,?,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,999,0,0.835395,no,no
38,blue-collar,married,high.school,no,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,999,0,0.901903,no,no
?,unemployed,single,university.degree,no,yes,no,telephone,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.713,4991.6,999,0,0.783126,no,no
53,blue-collar,divorced,basic.4y,unknown,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,999,0,0.935114,no,no
32,blue-collar,married,high.school,unknown,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,999,0,0.926225,no,no
?,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,999,0,0.952164,no,no
